id;judul_buku;penulis;penerbit
1;Analisa data penelitian menggunakan software stata#Mahfud Sholihin;Mahfud Sholihin;Andi
2;Kapita selekta hukum perdata#kapita;kapita;Pustaka Baru Press
3;Paradigma pendidikan anak dalam islam#Dindin Jamaluddin;Dindin Jamaluddin;Pustaka Setia
4;Pengantar hukum adat#Agusta Pinta Kurnia Rizky;Agusta Pinta Kurnia Rizky;Pustaka Baru Press
5;Ekosistem padang lamun#Mujizat Kawaroe;Mujizat Kawaroe;IPB Press
6;Pembelajaran kreatif bahasa indonesia(kurikulum 2013)#Heru kurniawan;Heru kurniawan;Kencana
7;Perancangan aksebilitas untuk fasilitas publik#Harry Kurniawan;Harry Kurniawan;Gadjah Mada Universitas Press
8;Pemograman visual basic NET untuk aplikasi Office#Edy Winarno;Edy Winarno;Elex Media Komputindo
9;Panduan budidaya dan pengolahan kopi arabika gayo#Panduan;Panduan;Azrajens Mayuma
10;Panen cepat budidaya jamur#Ica Meinanda;Ica Meinanda;Padi
11;Budidaya mangga di lahan sempit#Sri Rahayu;Sri Rahayu;Intra Pustaka
12;Akuntansi perpajakan lintas sektoral: dilengkapi peraturan perpajakan terkait dan terkini#Irvan Wasanggeni;Irwan Wasanggeni;Mitra Wacana Media
13;Dinamika produk dan akad keuangan syariah di Indonesia#Dinamika;Dinamika;Rajawali Pers
14;Auditing (pemerikasaan akuntansi)#Danang Sunyoto;Danang Sunyoto;CAPS
15;Application of monte carlo simulation in chemical engineering#Wahyudi Budi Sediawan;Wahyudi Budi Sediawan;Gadjah Mada Universitas Press
16;Pengantar hukum adat#Agusta Pinta Kurnia Rizky;Agusta Pinta Kurnia Rizky;Kencana
17;Pengembangan kurikulum pendidikan: teknologi dan kejuruan#Tedjo Natsoyo Reksoatmodjo;Tedjo Natsoyo Reksoatmodjo;Refika Aditama
18;Model-model pembelajaran innovatif dan efektif#Tukiran Taniredja;efektif#Tukiran Taniredja;Alfabeta
19;Pengantar psikologi belajar#Hasnawati;Hasnawati;Rajawali Pers
20;Manajemen media massa konsep dasar, pengelolaan, dan etika profesi#ade Putranto Pasetyo;ade Putranto Pasetyo;Pustaka Baru Press
21;Budidaya lebah madu : sengatan untungnya kian diburu# Ahmad Widodo;Ahmad Widodo;Pustaka Baru Press
22;Analisis wacana : teori, metode, dan penerapannya pada wacana media# Aris Badara ;Aris Badara;Kencana
23;Fisika dasar jilid 3# David Halliday;David Halliday ;Erlangga
24;Perencanaan obat rumah sakit dan puskesmas# Suhadi;Suhadi;Sagung Seto
25;Dasar tata laksana cairan parenteral untuk anak sakit gawat: buku referensi# Antonius H. Pudjiadi;Antonius H. Pudjiadi;Sagung Seto
26;Filsafat bahasa: mengungkap hakikat bahasa, makna dan tanda# Asep Ahmad Hidayat;Asep Ahmad Hidayat;Remaja Rosdakarya
27;Prinsip-prinsip hukum pidana# Eddy O.S. Hiariej;Eddy O.S. Hiariej;Cahaya Atma Pustaka
28;Pr writing: pengantar dan aplikasi di era digital# Halida Bahri;Halida Bahri;Kencana
29;Memahami secara singkat struktur komposit antara beton dan baja# Asiyanto;Asiyanto;Universitas Indonesia
30;Teknik gambar sketsa arsitektur: interior, eksterior# Budiwidodo Pangarso;Budiwidodo Pangarso ;Kanisius
31;Permasalahan belajar dan inovasi pembelajaran: panduan untuk guru, konselor, psikolog, orang tua, dan tenaga kependidikan# Mubiar Agustin;Mubiar Agustin ;Refika Aditama
32;Kupas tuntas pendidikan dan latihan profesi guru (PLPG): sertifikasi dan menjadi guru profesional# Imas Kurniasih;Imas Kurniasih ;Kata Pena
33;Jaminan hak tanggungan# Rio Christiawan;Rio Christiawan ;Refika Aditama
34;Kepemimpinan dan pengambilan keputusan: pendekatan teori dan praktik# Aspizain Chaniago;Aspizain Chaniago ;Lentera Ilmu Cendekia
35;Fisika dasar jilid 2# David Halliday;David Halliday ;Erlangga
36;Analisis dan perancangan sistem basis data# Wahyuni Reksoatmodjo;Wahyuni Reksoatmodjo ;Andi
37;Pendidikan karakter: konsep dan implementasinya# Witarsa;Witarsa ;Yrama Widya
38;Manajemen kinerja pelayanan rumah sakit# Boy S. Sabarguna;Boy S. Sabarguna ;Sagung Seto
39;Statistika sosial: teori dan aplikasi untuk mahasiswa dan peneliti ilmu-ilmu sosial# Statistika;Statistika ;Rajawali Pers
40;Belajar dan pembelajaran serta pemanfaatan sumber belajar# Karwono;Karwono ;Rajawali Pers
41;Manajemen aparatur sipil negara indonesia# Muhamad Mu'iz Raharjo;Muhamad Mu'iz Raharjo ;Gava Media 
42;Analisis sistem teknik kimia# Panut Mulyono;Panut Mulyono ;Gadjah Mada University Press 
43;Metode penelitian & pengembangan (research & development): uji produk kuantitatif dan kualitatif proses dan hasil# Amir Hamzah;Amir Hamzah ;Literasi Nusantara
44;Mitigasi lingkungan dalam perspektif islam# Adzuha Desmi;Adzuha Desmi ;Pustaka diniyah
45;Visual basic 6 beginner guide: panduan mudah belajar visual basic dari nol hingga mahir# Eko Koswara;Eko Koswara ;Mediakom
46;Manajemen perubahan sekolah# Karna Husni;Karna Husni ;Pustaka Setia
47;Ketika hukum berbicara# Fadli Andi Natsif;Fadli Andi Natsif ;Prenadamedia Group
48;Dekontaminasi ion logam dengan biosorben berbasis asam humat, kitin dan kitosan# Sri Juari Santosa;Sri Juari Santosa ;Gadjah Mada University Press 
49;Pengantar hukum tata negara# Aris Prio Agus Santoso;Aris Prio Agus Santoso ;Pustaka Baru Press
50;Cerdas berbahasa indonesia EYD (ejaan yang disempurnakan)# Abdullah;Abdullah ;Sandro Jaya
51;Mudah membangun jaringan wireless# Mudah;Mudah ;Andi
52;Proporsional tenaga ahli pada perencanaan infrastruktur# Wesli;Wesli ;Yayasan Pena
53;Teknologi surfaktan dan aplikasinya# Teknologi;Teknologi ;IPB Press
54;Spektroskopi fotoakustik laser dan aplikasinya# Mitrayana;Mitrayana ;Gadjah Mada University Press 
55;Semantik 2: relasi makna paradigmatik, sintagmatik, dan derivasional# Fatimah Djajasudarma;Fatimah Djajasudarma ;Refika Aditama
56;Pengantar hukum pajak# Aris Prio Agus Santoso;Aris Prio Agus Santoso ;Pustaka Baru Press
57;Negara pancasila dalam persepsi mayoritas islam# Muhammad Salisul Khakim;Muhammad Salisul Khakim ;Deepublish 
58;DPRD tentang tugas dan fungsi# Agus Suharyono;Agus Suharyono ;Deepublish
59;Pancasila & ketahanan jati diri bangsa: panduan kuliah di perguruan tinggi# Effendy Suryana;Effendy Suryana ;Refika Aditama
60;Teknologi pengolahan CPO dan produk turunannya# Teknologi;Teknologi ;IPB Press 
61;Manajemen pendidikan# Dini rosdiani;Dini rosdiani ;Alfabeta
62;Pidato 3 bahasa: indonesia, inggris, arab# M. Bukhari Al-Muslim;M. Bukhari Al-Muslim ;Pustaka Sandro Jaya
63;Hukum acara perdata# Khairani;Khairani ;Bandar Publishing
64;Komunikasi antarbudaya dahulu kini dan nanti# Sihabuddin;Sihabuddin ;Kencana
65;Sosiologi pariwisata: kajian sosiologis terhadap struktur, sistem, dan dampak-dampak pariwisata# I Gde Pitana;I Gde Pitana ;Andi
66;Instrumentasi biomedis# Achmad Rizal;Achmad Rizal ;Graha Ilmu
67;Kebijakan publik: analisis implementasi kebijakan keselamatan dan kesehatan kerja (K3)# Daradjat Kartawidjaja;Daradjat Kartawidjaja ;Alfabeta
68;Hukum acara pidana: memahami perlindungan HAM dalam proses penahanan di indonesia# Ruslan Renggong;Ruslan Renggong ;Prenadamedia Group
69;Wawasan ilmu pengetahuan sosial# Samsul Susilawati;Samsul Susilawati ;Prismasophie
70;Komunikasi pemasaran politik# Solatun Dulah Sayuti;Solatun Dulah Sayuti ;Remaja Rosdakarya
71;Pengantar hukum dagang & korporasi# Pengantar;Pengantar ;Pustaka Baru Press 
72;Strategic management for educational management (manajemen strategik untuk manajemen pendidikan# Akdon;Akdon ;Alfabeta 
73;Pengantar teknik industri# Sutarman;Sutarman ;Refika Aditama
74;Pendidikan pancasila& kewarganegaraan# Abdul Hamid;Abdul Hamid ;Pustaka Setia
75;Pengelolaan kawasan konservasi# Pengelolaan;Pengelolaan ;Gadjah Mada University Press 
76;Kedudukan kejaksaan republik indonesia dalam sistem ketatanegaraan# Kedudukan;Kedudukan ;Litera 
77;Hukum agraria: pengantar hukum bagi hasil perikanan di indonesia# Ifan Noor Adham;Ifan Noor Adham ;Tatanusa 
78;Pengelasan paduan aluminium# Jamasri;Jamasri ;Gadjah Mada University Press 
79;Konvergensi pertumbuhan ekonomi: analisis pascapelaksanaan otonomi daerah di indonesia# Apridar;Apridar ;Graha Ilmu
80;Hidraulika saluran terbuka: bahan ajar# Bambang Yulistiyanto;Bambang Yulistiyanto ;Beta Offset 
81;Pengantar ilmu politik: perspektif barat dan islam# Hatamar Rasyid;Hatamar Rasyid ;Rajawali Pers
82;Politik indonesia kini: potret budaya politik hingga dinamika pilkada# Politik;Politik ;Intrans Publishing
83;Ide kreatif renovasi rumah# Santi Hasan;Santi Hasan ;Penebar Swadaya
84;Kimia dasar: prinsip-prinsip & aplikasi modern jilid 2# Ralph H. Petrucci;Ralph H. Petrucci ;Erlangga
85;Kimia dasar: prinsip-prinsip & aplikasi modern jilid 1# Ralph H. Petrucci;Petrucci, Ralph H. ;Erlangga
86;Pengolahan citra dan suara# Fadlisyah;Fadlisyah ;Teknosain
87;teori dasar analisis kebudayaan# Max Weber;Max Weber ;IRCSoD
88;Belajar & pembelajaran# Dimyati;Dimyati ;Rineka Cipta 
89;Bayang-bayang terorisme: potret genealogi dan ideologi terorisme di indonesia# Yudi Zulfahri;Yudi Zulfahri ;Pustaka Milenia
90;Hukum perdata islam: penerapan hukum keluarga dan hukum bisnis islam di indonesia# Siska Lis Sulistiani;Siska Lis Sulistiani ;Sinar Grafika
91;Perkembangan hukum perdata tentang benda dan hukum perikatan# Djaja S. Meliala;Djaja S. Meliala ;Nuansa Aulia
92;Menggugat demokrasi lokal# Andrian Habibi;Andrian Habibi ;Deepublish
93;Kedudukan dan fungsi polisi dalam sistem politik# Bambang Yuniarto;Bambang Yuniarto ;Deepublish
94;Komunikasi matematik, strategi berpikir dan manajemen belajar: konsep dan aplikasi# Bansu l. Ansari;Bansu l. Ansari ;Pena 
95;Panduan praktis membuat aplikasi android dengan android studio# Hardiansah;Hardiansah ;Lauwba Techno indonesia
96;Hukum acara perdata (dilengkapi contoh surat kuasa, surat gugatan, replik dan duplik)# Hukum;Hukum ;Pustaka Baru Pres
97;Pengantar praktik peradilan semu# pengantar;pengantar ;Pustaka Baru Press
98;Prinsip-prinsip unidroit: sebagai sumber hukum kontrak dan penyelesaian sengketa bisnis internasional# Taryana Soenandar;Taryana Soenandar ;Sinar Grafika
99;Kejahatan mayantara (cyber crime)# Abdul Wahid;Abdul Wahid ;Refika Aditama
100;Analisis data penelitian menggunakan software stata# Mahfud Sholihin;Mahfud Sholihin ;Andi
101;Kapita selekta hukum perdata# kapita;kapita ;Pustaka Baru Press 
102;Teori ekonomi mikro# Sarwoko;Sarwoko ;Andi
103;Paradigma pendidikan anak dalam islam# Dindin Jamaluddin;Dindin Jamaluddin ;Pustaka Setia
104;Pengantar hukum adat# Agusta Pinta Kurnia Rizky;Agusta Pinta Kurnia Rizky ;Pustaka Baru Press
105;Ekosistem padang lamun# Mujizat Kawaroe;Mujizat Kawaroe ;IPB Press 
106;Bercocok tanam teh# Wahju Muljana;Wahju Muljana ;Aneka Ilmu
107;Pembelajaran kreatif bahasa indonesia (kurikulum 2013)# Heru Kurniawan;Heru Kurniawan ;Kencana
108;Perancangan aksesibilitas untuk fasiltas publik# Harry Kurniawan;Harry Kurniawan ;Gadjah Mada University Press 
109;Pemrograman visual basic NET untuk aplikasi office# Edy Winarno;Edy Winarno ;Elex Media Komputindo
110;Applications of monte carlo simulation in chemical engineering# Wahyudi Budi Sediawan;Wahyudi Budi Sediawan ;Gadjah Mada University Press 
111;Auditing (pemeriksaan akuntansi)# Danang Sunyoto;Danang Sunyoto ;CAPS
112;25 desain rumah klasik modern eropa# Dmaximus Arc;Dmaximus Arc ;Griya Kreasi
113;Panduan budidaya dan pengolahan kopi arabika gayo# Panduan;Panduan ;Azrajens Mayuma
114;Panen cepat budidaya jamur# Ica Meinanda;Ica Meinanda ;Padi 
115;Budidaya mangga di lahan sempit# Sri Rahayu;Sri Rahayu ;Intra Pustaka
116;Akuntansi perpajakan lintas sektoral: dilengkapi peraturan perpajakan terkait dan terkini# Irwan Wisanggeni;Irwan Wisanggeni ;Mitra Wacana Media
117;Dinamika produk dan akad keuangan syariah di indonesia# Dinamika;Dinamika ;Rajawali Pers
118;2D cad drawing dengan autocad# Dua;Dua ;Andi
119;Mengenal hardware-software dan pengelolaan instalasi komputer# Melwin Syafrizal Daulay;Melwin Syafrizal Daulay ;Andi
120;Pengantar hukum partai politik# Fajlurrahman Jurdi;Fajlurrahman Jurdi ;Kencana
121;Pengembangan kurikulum pendidikan: teknologi dan kejuruan# Tedjo Narsoyo Reksoatmodjo;Tedjo Narsoyo Reksoatmodjo ;Refika Aditama 
122;Sintaksis memahami kalimat tunggal# Ida Bagus Putrayasa;Ida Bagus Putrayasa ;Refika Aditama
123;Hukum & politik: pengaruh & peranan politik hukum bagi negara# Aris Prio Agus Santoso;Aris Prio Agus Santoso ;Pustaka Baru Press 
124;Model-model pembelajaran inovatif dan efektif# Tukiran Taniredja;Tukiran Taniredja ;Alfabeta
125;Pengantar psikologi belajar# Hasnawati;Hasnawati ;Rajawali Pers
126;Manajemen media massa: konsep dasar, pengelolaan, dan etika profesi# Ade Putranto Prasetyo;Ade Putranto Prasetyo ;Pustaka Baru Press
127;Membangun aplikasi online shop dengan codeigniter untuk pemula# Cahya Dyazin;Cahya Dyazin ;Andi 
128;Syariah: ekonomi bisnis dan bunga bank# M. Quraish Shihab;M. Quraish Shihab ;Lentera Hati
129;Fasade: beda fasade, beda ekspresi rumah seri rumah ide# Fasade;Fasade ;Gramedia Pustaka Utama 
130;Inspirasi desain rumah 400m2-650m2# Inspirasi;Inspirasi ;Majalah Idea
131;20 inspirasi desain ruang keluarga# Dua puluh;Dua puluh ;Majalah Idea
132;20 desain inspiratif rumah tumbuh tipe 21-36 m2# Dua;Dua ;Gramedia Pustaka Utama
133;Filosofi dan implementasi CSR di indonesia# Rio Christiawan;Rio Christiawan ;Refika Aditama
134;Fisika dasar untuk sains dan teknik jilid 2: mekanika fluida & termodinamika# Ahmedi Asraf;Ahmedi Asraf ;Bumi Aksara
135;Mengenal hukum rumah sakit# Endang Wahyati Yustina;Endang Wahyati Yustina ;Keni Media
136;Kreativitas organisasi & inovasi bisnis# Reniati;Reniati ;Alfabeta 
137;Inovasi bisnis bandar uadara: pemasaran bandar udara# Anggono Raras;Anggono Raras ;Alfabeta
138;Cyber notary: pemahaman awal dalam konsep pemikiran# Emma Nurita;Emma Nurita ;Refika Aditama
139;Bunga rampai hukum aktual# Mardani;Mardani ;Ghalia Indonesia
140;Hukum perbatasan darat antarnegara# Saru Arifin;Saru Arifin ;Sinar Grafika
141;Matriks persamaan linier dan pemrograman linier# Ruminta;Ruminta ;Rekayasa Sains
142;Bab-bab pokok hukum administrasi# Sadjijono;Sadjijono ;Laksbang Pressindo
143;Psikologi perkembangan & pendidikan anak usia dini: sebuah bunga rampai# Psikologi;Psikologi ;Kencana
144;Manajemen bisnis syariah: menanamkan nilai dan praktik syariah dalam bisnis kontemporer# Buchari Alma;Buchari Alma ;Alfabeta
145;Moral pancasila, hukum, dan kekuasaan# Romli Atmasasmita;Romli Atmasasmita ;Refika Aditama
146;Hak cipta dalam media over the top# Tasya Safiranita Ramli;Tasya Safiranita Ramli ;Refika Aditama 
147;Atlas berwarna: teknik pemeriksaan kelainan telinga hidung tenggorok# Abla Ghanie Irwan;Abla Ghanie Irwan ;EGC
